Generation;Population TF;Population PR;Fitness;Std;Avg;Min;Best Fitness;Std;Best Individual TF;Best Individual PR
10;[[34, 24, 21], [34, 24, 21], [34, 24, 30], [34, 24, 21], [34, 24, 21]];[[[0,33, 0,83, 0,67], [0,21, 0,61, 0,35], [0,5, 0,03, 0,46]], [[0,33, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,03, 0,46]], [[0,33, 0,83, 0,67], [0,21, 0,61, 0,35], [0,5, 0,03, 0,46]], [[0,33, 0,83, 0,67], [0,21, 0,61, 0,35], [0,37, 0,03, 0,46]], [[0,33, 0,83, 0,67], [0,21, 0,61, 0,35], [0,5, 0,03, 0,35]]];[79,52033221 80,5154659  78,84345883 79,90837079 79,92705932];[3,36113877 0,67548648 1,08193585 1,22408654 2,11099334];79,74293740944596;78,84345882550596;80,5154658994734;0,6754864782410231;[34 24 21];"[[0,33 0,83 0,67]  [0,21 0,74 0,35]  [0,5  0,03 0,46]]"
11;[[34, 24, 21], [34, 28, 21], [34, 24, 21], [6, 34, 24, 21], [34, 24, 21]];[[[0,33, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,03, 0,46]], [[0,33, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,03, 0,46]], [[0,33, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,83, 0,33, 0,83, 0,67], [0,55, 0,21, 0,74, 0,35], [0,44, 0,5, 0,03, 0,46]], [[0,33, 0,83, 0,67], [0,64, 0,74, 0,35], [0,5, 0,03, 0,46]]];[78,4648214  77,0543062  80,90241022 79,10240302 80,4870021 ];[2,81595775 3,22621125 1,36930594 2,13470066 0,76858529];79,20218858797934;77,05430620315184;80,9024102153152;1,369305936173536;[34 24 21];"[[0,33 0,83 0,67]  [0,21 0,74 0,35]  [0,5  0,7  0,46]]"
12;[[34, 24, 21], [34, 24, 21], [34, 24, 21], [26, 34, 24, 21], [34, 24, 21]];[[[0,33, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,11, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,33, 0,83, 0,67], [0,21, 0,18, 0,35], [0,5, 0,7, 0,46]], [[0,12, 0,33, 0,83, 0,67], [0,81, 0,21, 0,74, 0,35], [0,14, 0,5, 0,7, 0,46]], [[0,33, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,7, 0,67]]];[80,80942774 81,21191832 81,11383957 78,29340325 79,59589047];[0,43890965 0,86496969 1,38847847 3,15643032 2,71222493];80,20489586930015;78,29340325274042;81,21191832176888;0,8649696890416962;[34 24 21];"[[0,11 0,83 0,67]  [0,21 0,74 0,35]  [0,5  0,7  0,46]]"
13;[[34, 24, 21], [34, 24, 21], [34, 24, 20, 21], [34, 24, 21], [16, 24, 21]];[[[0,11, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,11, 0,83, 0,67], [0,21, 0,03, 0,35], [0,5, 0,7, 0,46]], [[0,11, 0,83, 0,79, 0,67], [0,21, 0,74, 0,48, 0,35], [0,5, 0,7, 0,96, 0,46]], [[0,11, 0,83, 0,67], [0,21, 0,74, 0,11], [0,5, 0,7, 0,46]], [[0,11, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]]];[80,43573487 80,58906772 81,24413289 79,4373769  79,40832461];[1,05117438 1,24557843 0,85816741 1,04333702 2,42427423];80,22292739572472;79,40832460618718;81,24413288739179;0,8581674051497823;[34 24 20 21];"[[0,11 0,83 0,79 0,67]  [0,21 0,74 0,48 0,35]  [0,5  0,7  0,96 0,46]]"
14;[[34, 24, 20, 21], [34, 24, 20, 13, 21], [34, 24, 20, 21], [34, 32, 20, 21], [34, 24, 20, 21]];[[[0,11, 0,83, 0,79, 0,67], [0,21, 0,74, 0,48, 0,35], [0,5, 0,7, 0,96, 0,46]], [[0,11, 0,83, 0,79, 0,76, 0,67], [0,21, 0,74, 0,48, 0,17, 0,35], [0,5, 0,7, 0,96, 0,36, 0,46]], [[0,11, 0,83, 0,79, 0,67], [0,21, 0,74, 0,48, 0,35], [0,4, 0,7, 0,96, 0,46]], [[0,11, 0,83, 0,79, 0,67], [0,21, 0,74, 0,48, 0,35], [0,5, 0,7, 0,96, 0,46]], [[0,74, 0,83, 0,79, 0,67], [0,21, 0,74, 0,48, 0,35], [0,5, 0,7, 0,96, 0,46]]];[79,90656784 79,66978823 76,75227699 79,06634902 79,97558344];[1,1308848  1,25756527 3,54851957 1,83451698 2,1165932 ];79,07411310596164;76,75227699118527;79,97558343773777;2,116593196278614;[34 24 20 21];"[[0,74 0,83 0,79 0,67]  [0,21 0,74 0,48 0,35]  [0,5  0,7  0,96 0,46]]"
15;[[34, 24, 20, 21], [34, 24, 20, 21], [34, 24, 20, 21], [34, 24, 21], [34, 24, 20, 21]];[[[0,74, 0,83, 0,79, 0,67], [0,21, 0,74, 0,48, 0,35], [0,5, 0,7, 0,96, 0,46]], [[0,74, 0,83, 0,79, 0,67], [0,21, 0,74, 0,48, 0,35], [0,36, 0,7, 0,96, 0,46]], [[0,74, 0,83, 0,79, 0,67], [0,21, 1,0, 0,48, 0,35], [0,5, 0,7, 0,96, 0,46]], [[0,74, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,74, 0,83, 0,79, 0,67], [0,21, 0,74, 0,48, 0,35], [0,41, 0,7, 0,96, 0,46]]];[79,04222184 80,44359052 80,68922995 81,24494879 79,86634061];[3,0303788  0,42994182 0,40941613 0,95693418 0,78460769];80,25726634396896;79,042221839913;81,24494879220691;0,9569341758479695;[34 24 21];"[[0,74 0,83 0,67]  [0,21 0,74 0,35]  [0,5  0,7  0,46]]"
16;[[34, 24, 21], [34, 24, 21], [34, 24, 21], [34, 24], [25, 24, 21]];[[[0,74, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,74, 0,83, 0,09], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,16, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,74, 0,83], [0,21, 0,74], [0,5, 0,7]], [[0,74, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]]];[80,21482122 80,51112791 80,35696089 79,80983056 80,6058989 ];[0,85521409 1,59092291 1,59030603 0,621527   0,84241181];80,2997278947967;79,8098305591751;80,6058988961614;0,8424118098687958;[25 24 21];"[[0,74 0,83 0,67]  [0,21 0,74 0,35]  [0,5  0,7  0,46]]"
17;[[25, 24, 21], [25, 24, 21], [25, 24, 21], [31, 25, 24, 21], [25, 24, 21]];[[[0,74, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,82, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,27, 0,83, 0,67], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,18, 0,74, 0,83, 0,67], [0,43, 0,21, 0,74, 0,35], [0,61, 0,5, 0,7, 0,46]], [[0,74, 0,83, 0,31], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]]];[80,26473202 80,18720094 80,46251051 79,46199061 80,81497754];[1,17720786 0,64615097 0,78944616 1,33068931 0,88416404];80,23828232353148;79,46199060884086;80,8149775415376;0,8841640367943773;[25 24 21];"[[0,74 0,83 0,31]  [0,21 0,74 0,35]  [0,5  0,7  0,46]]"
18;[[25, 24, 21], [25, 24, 21], [25, 21], [24, 21], [25, 24, 21]];[[[0,74, 0,83, 0,31], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,33, 0,83, 0,31], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,74, 0,31], [0,21, 0,35], [0,5, 0,46]], [[0,83, 0,31], [0,74, 0,35], [0,7, 0,46]], [[0,74, 0,83, 0,31], [0,21, 0,74, 0,35], [0,5, 0,7, 0,02]]];[80,72888731 81,09324804 80,44342339 79,80459172 79,56786451];[1,29991156 0,85464449 0,48905354 1,51585253 2,25226435];80,32760299616936;79,56786451105809;81,09324804045018;0,8546444886580048;[25 24 21];"[[0,33 0,83 0,31]  [0,21 0,74 0,35]  [0,5  0,7  0,46]]"
19;[[25, 24, 21], [25, 24, 21], [31, 24, 21], [25, 24, 21], [25, 24]];[[[0,33, 0,83, 0,31], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,33, 0,22, 0,31], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,33, 0,83, 0,31], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,33, 0,83, 0,79], [0,21, 0,74, 0,35], [0,5, 0,7, 0,46]], [[0,33, 0,83], [0,21, 0,74], [0,5, 0,7]]];[79,36598776 78,90612696 78,4687143  80,97082163 77,64616496];[2,55839445 2,0367049  1,89553474 0,68351851 1,78121144];79,07156312251857;77,64616496098171;80,97082162583531;0,6835185109103885;[25 24 21];"[[0,33 0,83 0,79]  [0,21 0,74 0,35]  [0,5  0,7  0,46]]"
